vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
CHEVROLET,CAMARO 6.2,CONVERTIBLE,4x2,CHEVROLET LT1 - 6.2L,6162,,AUTOMÁTICA,NAFTA,EURO VI a,,30/08/2016,LCA 53 0012 297 15,LUXCONTROL S.A.,269,18.1,8.1,11.7,000076A
BMW,120i / 220i,SEDÁN 5 PUERTAS / COUPÉ,4x2,BMW B48B20A,1998,135,AUTOMÁTICA,NAFTA,EURO VI b,,13/09/2016,201638653,DEKRA,135,7.4,5,5.9,000527C
BMW,220i,CONVERTIBLE,4x2,BMW B48B20A,1998,135,AUTOMÁTICA,NAFTA,EURO VI b,,13/09/2016,201638653,DEKRA,140,7.7,5.2,6.1,000528C
HONDA,WR-V,SEDÁN 5 PUERTAS,4x2,HONDA L15Z9,1496,,CVT,NAFTA,EURO V,,13/08/2018,T02 BSS360549 00,VCA,154,8.2,5.7,6.6,000088A
BMW,M140i,SEDÁN 3 PUERTAS / 5 PUERTAS / COUPÉ,4x2,BMW B58B30A,2998,,AUTOMÁTICA,NAFTA,EURO VI b,,24/10/2016,201638657,DEKRA,163,9.4,5.8,7.1,000184B
BMW,M240i,CONVERTIBLE,4x2,BMW B58B30A,2998,,AUTOMÁTICA,NAFTA,EURO VI b,,24/10/2016,201638657,DEKRA,163,9.4,5.8,7.1,000185B
CITROËN / DS,DS 4,BERLINA 5 PUERTAS,4x2,CITROËN EP6FDTX (5GM),1598,,MANUAL,NAFTA,EURO VI b,,13/08/2018,15/06043,UTAC,137.7,7.6,5,5.9,000130A
PEUGEOT,2008,BERLINA 5 PUERTAS,4x2,PEUGEOT EC5 (NFP),1587,83,AUTOMÁTICA,NAFTA,EURO V,,28/05/2018,1-0161/17,DELPHI,176.54,9.96,6.18,7.57,000420B
PEUGEOT,208,BERLINA 5 PUERTAS,4x2,PEUGEOT EC5 (NFP),1587,83,AUTOMÁTICA,NAFTA,EURO V,,12/12/2017,R2-0175/17,DELPHI,173.72,10.04,5.92,7.44,000430B
CITROËN,C3 AIRCROSS,SUV,4x2,CITROËN EC5 (NFP),1587,83,AUTOMÁTICA,NAFTA,EURO V,,19/09/2018,0298/17,DELPHI,183.12,10.39,6.34,7.86,000519C
FORD,ECOSPORT,SUV 5 PUERTAS,4x2,PSA 1.5 DV5D ,1498,,MANUAL,DIESEL,EURO V,,,16TXP0445-00,TÜV Rheinland,120.1,4.84,4.43,4.58,000134A
FORD,ECOSPORT,SUV,4x2,FORD 2.0L GDI,1999,125,AUTOMÁTICA,NAFTA,EURO V,,25/04/2018,TR83-USS379499,VCA,204.29,11.83,7.05,8.8,000493B
FORD,ECOSPORT,SUV,4x4,FORD 2.0L GDI,1999,125,AUTOMÁTICA,NAFTA,EURO V,,25/04/2018,TR83-USS357051 Rev. 1,VCA,200.43,11.65,6.93,8.65,000494B
FIAT,ARGO DRIVE 1.3 ,BERLINA,4x2,FIAT 55282059,1332,,MANUAL,NAFTA,EURO V,,24/10/2017,10268,FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA.,148.42,8.13,5.32,6.36,000180B
FIAT,ARGO PRECISION 1.8,BERLINA,4x2,FIAT 55273256,1747,,MANUAL,NAFTA,EURO V,,19/04/2017,17057,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL,169.73,10.02,5.68,7.27,000188B
FIAT,ARGO HGT 1.8,BERLINA,4x2,FIAT 55273256,1747,,MANUAL,NAFTA,EURO V,,19/04/2017,17057,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL,169.73,10.02,5.68,7.27,000188B
LIFAN,MYWAY 1.8 VVT,RURAL 5 PUERTAS,4x2,LIFAN LFB479Q-h,1794,,MANUAL,NAFTA,EURO V,,13/07/2017,CN16110139,IDIADA,190,10.2,6.8,8.1,000179B
CHERY,TIGGO 5 1.5 MT,HATCHBACK,4x2,CHERY SQRE4T15,1498,,MANUAL,NAFTA,EURO V,,19/10/2016,CSS364588,VCA,186,9.9,6.7,7.9,000108A
PEUGEOT,5008,RURAL 5 PUERTAS,4x2,PEUGEOT EP6FDTM (5GY),1598,,AUTOMÁTICA,NAFTA,EURO V,,19/07/2017,16/06627,UTAC,170.8,10.1,6.7,7.3,000144A
VOLKSWAGEN,UP! - UP! TSI,SEDÁN 2 o 4 PUERTAS CON PORTÓN TRASERO,4x2,VOLKSWAGEN DNB,999,,MANUAL,NAFTA,EURO V,,27/06/2017,259/16,LABORATORIO DE VOLKSWAGEN DO BRASIL,126.67,6.9,4.58,5.44,000260B
HONDA,CR-V,RURAL,4x4,HONDA L15BE,1498,,CVT,NAFTA,EURO V,,09/08/2017,H1760552835/004,VINÇOTTE nv,161,8.7,5.8,6.9,000092A
ALFA ROMEO,GIULIA,BERLINA,4x2,ALFA ROMEO 55273835,1995,,AUTOMÁTICA,NAFTA,EURO VI,,09/08/2017,F0621/2/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,199.7,12.94,6.12,8.65,000183B
ALFA ROMEO,GIULIA QUADRIFOGLIO,BERLINA,4x2,ALFA ROMEO 670050436,2891,,AUTOMÁTICA,NAFTA,EURO VI b,,19/07/2017,G0415/2/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,187.98,12.42,5.72,8.15,000196B
FIAT,CRONOS PRESICION 1.8 MT,BERLINA,4x2,FIAT 55273256,1747,,MANUAL,NAFTA,EURO V,,10/10/2017,10461,FIAT AUTOMOVEIS S.A.,166.26,9.63,5.65,7.13,000335B
PEUGEOT / CITROËN,TRAVELLER / SPACETOURER,MICROOMNIBUS,4x2,PEUGEOT / CITROËN DW10FD (AHX),1997,,AUTOMÁTICA,GAS OIL,EURO VI,,22/06/2018,16/06167,UTAC,165.1,7.3,5.8,6.4,000123A
TOYOTA,HILUX,PICK UP CABINA SIMPLE DOBLE,4x2 - 4x4,TOYOTA 2GD-FTV,2393,,MANUAL,GAS OIL,EURO V,,03/08/2017,JST407442,VCA,197,8.9,6.6,7.5,000072A
TOYOTA,HILUX,PICK UP CABINA DOBLE,4x2 - 4x4,TOYOTA 1GD-FTV,2755,,MANUAL,GAS OIL,EURO  V,,22/06/2018,JST407441,VCA,208,9.1,7.2,7.9,000004A
TOYOTA,HILUX,PICK UP CABINA DOBLE,4x2 - 4x4,TOYOTA 1GD-FTV,2755,,AUTOMÁTICA,GAS OIL,EURO V,,22/06/2018,VST409957,VCA,226,11.3,7,8.6,000005A
CHEVROLET,TRAILBLAZER 2.8 TRANSMISIÓN AUTOMÁTICA,SUV,4x2 - 4x4,CHEVROLET LWN (XLDE) - DURAMAX / CTDI 2.8L,2776,,AUTOMÁTICA,GAS OIL,EURO V,,06/12/2018,CPLE 032/2018,GENERAL MOTORS DO BRASIL LTDA.,257.19,12.6,8.16,9.78,000210B
TOYOTA,CAMRY,SEDÁN 4 PUERTAS,4x2,TOYOTA 2AR-FE,2494,,AUTOMÁTICA,NAFTA,EURO V,,01/09/2017,H1760161643/410 TR,VINÇOTTE nv,200,11.77,6.8,8.6,000006A
TOYOTA,CAMRY,SEDÁN 4 PUERTAS,4x2,TOYOTA 2GR-FKS,3456,,AUTOMÁTICA,NAFTA,EURO V,,01/09/2017,H1760161643/411 TR,VINÇOTTE nv,206,13,6.7,9,000007A
TOYOTA,INNOVA,FAMILIAR,4x2,TOYOTA 2TR-FE,2694,,AUTOMÁTICA,NAFTA,EURO V,,01/09/2017,JSQ320070,VCA,241,13.4,8.6,10.4,000008A
PEUGEOT / CITROËN,PARTNER / BERLINGO,FAMILIAR-FURGÓN,4x2,PSA EC5 (NFP),1587,,MANUAL,NAFTA,EURO V,,12/04/2018,0179/17,DELPHI,205.58,11.43,7.28,8.8,000355B
FIAT,ARGO PRECISION 1.8 AT6,BERLINA,4x2,FIAT 55280490,1747,,AUTOMÁTICA,NAFTA,EURO V,,10/10/2017,10386,FIAT AUTOMOVEIS S.A.,183.78,10.96,6.09,7.89,000201B
FIAT,ARGO HGT 1.8 AT6,BERLINA,4x2,FIAT 55280490,1747,,AUTOMÁTICA,NAFTA,EURO V,,10/10/2017,10386,FIAT AUTOMOVEIS S.A.,183.78,10.96,6.09,7.89,000201B
FIAT,STRADA WORKING 1.4 CC / CD,PICK UP,4x2,FIAT 310A2011,1368,,MANUAL,NAFTA,EURO V,,15/01/2018,10371,FIAT AUTOMOVEIS S.A.,188.38,10.87,6.45,8.08,000139A
FIAT,CRONOS PRESICION 1.8 AT6,SEDÁN,4x2,FIAT 55280490,1747,,AUTOMÁTICA,NAFTA,EURO V,,10/10/2017,10386,FIAT AUTOMOVEIS S.A.,183.78,10.96,6.09,7.89,000351B
FIAT,CRONOS DRIVE 1.3,BERLINA,4x2,FIAT 55282059,1332,,MANUAL,NAFTA,EURO V,,10/10/2017,10481,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL,147.65,8.1,5.29,6.33,000203B
FIAT,STRADA ADVENTURE 1.6 16V CABINA DOBLE,PICK UP,4x2,FIAT 178F4055,1598,,MANUAL,NAFTA,EURO V,,24/10/2017,10370,FIAT AUTOMOVEIS S.A.,194.46,10.83,6.88,8.33,000155A
CHEVROLET,S10 2.8,PICK UP CABINA SIMPLE - CABINA DOBLE,4x2 - 4x4,CHEVROLET LWN (XLDE) - DURAMAX / CTDI 2.8L,2776,,MANUAL,GAS OIL,EURO V,,18/01/2018,CPLE 030/2018,GENERAL MOTORS DO BRASIL LTDA.,238.62,11.37,7.75,9.08,000206B
CHEVROLET,S10 2.8,PICK UP CABINA SIMPLE - CABINA DOBLE,4x2 - 4x4,CHEVROLET LWN (XLDE) - DURAMAX / CTDI 2.8L,2776,,AUTOMÁTICA,GAS OIL,EURO V,,18/01/2018,CPLE 031/2018,GENERAL MOTORS DO BRASIL LTDA.,250.93,12.35,7.92,9.53,000209B
ALFA ROMEO,GIULIA 2.0 VELOCE,BERLINA,4x2 - 4x4,ALFA ROMEO 55273835,1995,,AUTOMÁTICA,NAFTA,EURO VI b,,09/10/2017,G0680/2/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,149.14,9.04,5,6.47,000205B
FAW,ACTIS V80,MINIBUS - FURGÓN,4x2,FAW CA4GX15,1495,72,MANUAL,NAFTA,EURO V,,05/12/2017,88-R101-515/14-00,TÜV Rheinland,163,8.5,6.1,7,000416B
CHEVROLET,SPIN ACTIV 1.8,MONOVOLÚMEN 4 PUERTAS Y PORTÓN TRASERO,4x2,CHEVROLET LJ1 – (FAM1 GV 1.8L SOHC 2V),1796,,MANUAL,NAFTA,EURO V,,05/12/2017,CPLE 042/2017 Rev.1,GENERAL MOTORS DO BRASIL LTDA.,192.84,10.69,6.64,8.13,000234B
CHEVROLET,SPIN 1.8,MOMOVOLÚMEN 4PUERTAS Y PORTÓN TRASERO (5 / 7 ASIENTOS),4x2,CHEVROLET LJ1 – (FAM1 GV 1.8L SOHC 2V),1796,,MANUAL,NAFTA,EURO V,,05/12/2017,CPLE 039/2017,GENERAL MOTORS DO BRASIL LTDA.,184.54,10.45,6.22,7.78,000259B
CHEVROLET,SPIN ACTIV 1.8 TRANSMISIÓN AUTOMÁTIA,MONOVOLÚMEN 4 PUERTAS Y PORTÓN TRASERO (5 / 7 ASIENTOS),4x2,CHEVROLET LJ1 – (FAM1 GV 1.8L SOHC 2V),1796,,AUTOMÁTICA,NAFTA,EURO V,,24/01/2018,CPLE 041/2017 Rev.1,GENERAL MOTORS DO BRASIL LTDA.,189.24,10.91,6.55,8.16,000332B
CHEVROLET,SPIN 1.8 TRANSMISION AUTOMATICA,MOMOVOLÚMEN 4PUERTAS Y PORTÓN TRASERO,4x2,CHEVROLET LJ1 – (FAM1 GV 1.8L SOHC 2V),1796,,AUTOMÁTICA,NAFTA,EURO V,,27/12/2017,CPLE 040/2017 Rev.1,GENERAL MOTORS DO BRASIL LTDA.,176.52,10.29,5.8,7.45,000232B
FAW,ACTIS T80,CHASIS CON CABINA SIMPLE,4x2,FAW CA4GX15,1495,72,MANUAL,NAFTA,EURO V,,13/11/2017,04701-CCC2019QTRWT230741,CHANGCHUN AUTOMOBILE TEST CENTER,166,8.5,6,6.9,000417B
FAW,ACTIS T80,CHASIS CON CABINA DOBLE,4x2,FAW CA4GX15,1495,72,MANUAL,NAFTA,EURO V,,13/11/2017,04701-CCC2019QTRWT229741,CHANGCHUN AUTOMOBILE TEST CENTER,161,8.4,5.7,6.7,000418B
VOLKSWAGEN,GOLF o GOLF GTI,SEDÁN 2 o 4 PUERTAS CON PORTÓN TRASERO,4x2,VOLKSWAGEN CXDB,1984,,AUTOMÁTICA,NAFTA,EURO V,,22/01/2018,CAE-16-3149,CENTRO DE ANÁLISIS DE EMISIONES DE VW DE MÉXICO,168.21,9.17,6.16,7.25,000202B
VOLKSWAGEN,TIGUAN o TIGUAN LWB,SUV – CROSSOVER 4 PUERTAS CON PORTÓN TRASERO,4x4,VOLKSWAGEN CXDA,1984,,AUTOMÁTICA,NAFTA,EURO V,,10/11/2017,CAE-17-0285,CENTRO DE ANÁLISIS DE EMISIONES DE VW DE MÉXICO,195.43,10.92,6.99,8.42,000167A
LIFAN,FOISON: TRUCK-STAKE TRUK-BOX-CARGO FURGÓN,PICK UP: CAJA BAJA JAULA CAJA PAQUETERA FURGÓN,4x2,LIFAN LF470Q-h,1206,,MANUAL,NAFTA,EURO V,,13/11/2017,89-R101-345/17-00,TÜV Rheinland,168,9.2,5.9,7.1,000192B
FORD,MUSTANG,COUPÉ,4x2,FORD 5.0L,5038,,AUTOMÁTICA,NAFTA,EURO VI b,,12/12/2017,TR83-USS379968-003,VCA,290.13,19.29,8.96,12.73,000093A
