vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
AUDI,A5 - A5 CABRIO,COUPÉ CONVERTIBLE 2 PUERTAS,4x2,AUDI DEMA / VALEO IST60S,1984,,MANUAL,NAFTA / ELECTRICIDAD,EURO VI c,160,01/10/2018,AUA5402A,ATE-EL LUXEMBOURG,140,7.9,5.2,6.2,000100A
LIFAN,M7,RURAL 5 PUERTAS,4x2,LIFAN LF483Q,1988,,CVT,NAFTA,EURO V,161,01/10/2018,89-R101-379/18-00,TÜV Rheinland,233,13.1,8.2,10,000101A
AUDI,Q8,STATION WAGON - SUV - CROSSOVER 4 PUERTAS CON PORTÓN TRASERO,4x4,AUDI DCBD / CONTINENTAL BSG-HP1-65,2995,,AUTOMÁTICA,NAFTA / ELECTRICIDAD,EURO VI b,162,01/10/2018,AUA5507A,ATE-EL LUXEMBOURG,210,11.1,8,9.2,000095A
FOTON,GRATOUR T3,DE CARGA CABINA SIMPLE,4x2,FOTON 4W12M1,1206,,MANUAL,NAFTA,EURO V,163,22/10/2018,LC 1139 002 18,LUXCONTROL S.A.,176,9.6,6.5,7.6,000115A
FOTON,GRATOUR T3,DE CARGA CABINA DOBLE,4x2,FOTON 4W12M1,1206,,MANUAL,NAFTA,EURO V,163,22/10/2018,LC 1139 002 18,LUXCONTROL S.A.,176,9.6,6.5,7.6,000115A
JEEP,WRANGLER: SPORT / SAHARA // UNLIMITED SPORT / UNLIMITED SAHARA,BERLINA,4x4,FCA G,3604,,AUTOMÁTICA,NAFTA,EURO V,166,08/10/2018,RDW-83R-062341 Corr.01,RDW,235.27,13.54,8.09,10.1,000103A
JEEP,WRANGLER: RUBICON / UNLIMITED RUBICON,BERLINA,4x4,FCA G,3604,,AUTOMÁTICA,NAFTA,EURO V,166,08/10/2018,RDW-83R-0062154 Corr.01,RDW,252.47,14.37,8.78,10.84,000104A
MERCEDES-BENZ,G 500,FAMILIAR,4x4,MERCEDES-BENZ 176.980,3982,,AUTOMÁTICA,NAFTA,EURO VI,169,17/10/2018,42.04.1417.00,TÜV NORD Mobilität,287,15.1,10.4,12.1,000110A
BMW,X4 M40i,SEDÁN 5 PUERTAS,4x4,BMW B58B30A,2998,,AUTOMÁTICA,NAFTA,EURO VI c,172,17/10/2018,201743801,DEKRA,210,11.6,7.8,9.2,000111A
MERCEDES-BENZ,MERCEDES-AMG G 63,FAMILIAR,4x4,MERCEDES-BENZ 177.980,3982,,AUTOMÁTICA,NAFTA,EURO VI b,173,17/10/2018,42.04.1415.00,TÜV NORD Mobilität,299.3,16.4,11.2,13.1,000116A
MERCEDES-BENZ,A 180,FAMILIAR,4x2,MERCEDES-BENZ 282.914,1332,,AUTOMÁTICA,NAFTA,EURO VI b,176,18/10/2018,42.04.1408.01,TÜV NORD Mobilität,131.5,7.4,4.9,5.8,000143A
BMW,530i,SEDÁN 4 PUERTAS,4x2,BMW B48B20B,1998,,AUTOMÁTICA,NAFTA,EURO VI c,178,06/12/2018,201844325,DEKRA,156,8.3,6,6.8,000145A
HYUNDAI,SANTA FE HTRACK,RURAL 5 PUERTAS -- TODOTERRENO,4x2 / 4x4,HYUNDAI G4KE,2359,,AUTOMÁTICA,NAFTA,EURO V,179,06/12/2018,KR18030151,IDIADA,239.4,13.92,8.09,10.23,000147A
HYUNDAI,SANTA FE HTRACK,RURAL 5 PUERTAS -- TODOTERRENO,4x2 / 4x4,HYUNDAI G4KE,2359,,MANUAL,NAFTA,EURO V,180,06/12/2018,KR18030151,IDIADA,231.8,13.55,7.76,9.91,000146A
HYUNDAI,SANTA FE 3.5 HTRAC,TODOTERRENO,4x4,HYUNDAI G6DC,3470,,AUTOMÁTICA,NAFTA,EURO V,184,06/12/2018,KR18030159,IDIADA,255.1,15.19,8.39,10.89,000148A
HYUNDAI,SANTA FE HTRAC 2.2D,RURAL 5 PUERTAS -- TODOTERRENO,4x2 / 4x4,HYUNDAI D4HB,2199,,MANUAL,GAS OIL,EURO V,185,06/12/2018,KR18050097,IDIADA,168.86,8.02,5.47,6.41,000149A
HYUNDAI,SANTA FE HTRAC 2.2D,RURAL 5 PUERTAS -- TODOTERRENO,4x2 / 4x4,HYUNDAI D4HB,2199,,AUTOMÁTICA,GAS OIL,EURO V,187,06/12/2018,KR18030163,IDIADA,203.7,10.16,6.33,7.74,000150A
MASERATI,GHIBLI SQ4,BERLINA 4 PUERTAS,4x4,MASERATI M156E,2979,,AUTOMÁTICA,NAFTA,EURO VI,190,28/11/2018,H0461/2/BO,CENTRO PROVA AUTOVEICOLI DI BOLOGNA,225.03,14.23,7.16,9.74,000132A
LEXUS,NX300H,SUV,4x4,TOYOTA: 2AR-FXE / 2JM (Delantero) / 2FM (Trasero),2494,,CVT,NAFTA / ELECTRICIDAD,EURO V,192,29/11/2018,H1860666086/097,AIV-VINÇOTTE International n.v.,140,6.3,5.8,6,000133A
SUBARU,FORESTER,RURAL,4x4,SUBARU FB20,1995,,CVT,NAFTA,EURO V,194,18/12/2018,LC 0050 070 18,LUXCONTROL S.A.,162,8.6,6,7,000156A
SUBARU,FORESTER,RURAL,4x4,SUBARU FB25,2498,,CVT,NAFTA,EURO VI,195,07/12/2018,LC 0050 077 18,LUXCONTROL S.A.,170,9.4,6.4,7.5,000151A
FORD,KUGA,SUV 5 PUERTAS,4x2 / 4x4,FORD 2.0L GTDI,1999,,AUTOMÁTICA,NAFTA,EURO V,196,14/12/2018,ESQ310992,VCA,210.11,12.01,7.25,9,000157A
MASERATI,GRAN TURISMO S GRAN TURISMO MC,COUPÉ,4x2,MASERATI M145B,4691,,AUTOMÁTICA,NAFTA,EURO V,198,18/12/2018,D0566/CC/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,360,23.8,10.7,15.5,000159A
HAVAL,H9,RURAL,4x4,GREAT WALL GW4C20A,1967,,AUTOMÁTICA,NAFTA,EURO V,199,18/12/2018,88-R101-818/17-00,TÜV Rheinland,260,13.5,9.6,11.1,000162A
HAVAL,H9,RURAL,4x4,GREAT WALL GW4C20,1967,,AUTOMÁTICA,NAFTA,EURO V,200,18/12/2018,88-R101-814/17-00,TÜV Rheinland,288,17.2,9.8,12.5,000163A
MERCEDES-BENZ,C 200,SEDÁN 4 PUERTAS,4x2,MERCEDES-BENZ 264.915,1497,,AUTOMÁTICA,NAFTA,EURO VI,202,18/12/2018,42.04.1427.00,TÜV NORD Mobilität,138.4,8.6,5.3,6.6,000164A
CHANGAN,CS35,SEDÁN 5 PUERTAS,4x2,CHANGAN JL478QEE,1598,,AUTOMÁTICA,NAFTA,EURO V,203,18/12/2018,CN18040605,IDIADA,166,10.1,5.1,7,000165A
VOLKSWAGEN,TIGUAN – TIGUAN LWB,SUV 4 PUERTAS Y PORTÓN TRASERO,4x2,VOLKSWAGEN CZDA,1395,,AUTOMÁTICA,NAFTA,EURO V,204,18/12/2018,CAE-18-1180C,CENTRO DE ANÁLISIS DE EMISIONES DE VW DE MÉXICO,188.77,10.72,6.68,8.15,000160A
LEXUS,NX300,SUV,4x4,TOYOTA 8AR-FTS,1998,,AUTOMÁTICA,NAFTA,EURO V,205,28/11/2018,H1460161643/337,AIB-VINÇOTTE International n.v.,196,11,7,8.4,000140A
JEEP,CHEROKEE LIMITED CHEROKEE SPORT CHEROKEE LONGITUDE,BERLINA,4x2,FCA X,3239,,AUTOMÁTICA,NAFTA,EURO VI a,206,18/12/2018,RDW-715/2007-0045713,RDW,215,12.8,7.1,9.2,000152A
JEEP,CHEROKEE LIMITED CHEROKEE SPORT CHEROKEE LONGITUDE,BERLINA,4x4,FCA X,3239,,AUTOMÁTICA,NAFTA,EURO VI a,206,18/12/2018,RDW-715/2007-0045713,RDW,226,13.1,7.7,9.7,000153A
JEEP,CHEROKEE TRAILHAWK,BERLINA,4x4,FCA X,3239,,AUTOMÁTICA,NAFTA,EURO VI a,206,18/12/2018,RDW-715/2007-0045713,RDW,236,13.3,8.3,10.1,000154A
ISUZU,D-MAX,PICK UP,4x2 - 4x4,ISUZU 4JJ1E5S-LA o 4JJ1,2999,,AUTOMÁTICA,GAS OIL,EURO V,210,02/01/2019,82-Rep101-99152TFAT/18,TÜV Rheinland,212.1,9.28,7.37,8.06,000168A
ISUZU,D-MAX,PICK UP,4x2 - 4x4,ISUZU 4JJ1E5S-LA o 4JJ1,2999,,MANUAL,GAS OIL,EURO V,211,02/01/2019,82-Rep101-99152TFMT/18,TÜV Rheinland,217.01,9.67,7.43,8.25,000169A
LEXUS,LS500H,SEDÁN 4 PUERTAS,4x2,TOYOTA: 8GR-FXS / 2NM,3456,,CVT,NAFTA / ELECTRICIDAD,EURO VI,213,09/01/2019,H1760614850/042,VINÇOTTE nv,156,8.08,6.46,6.85,000182B
BMW,X5 xDRIVE 40i (5 ASIENTOS),RURAL,4x4,BMW B58B30C,2998,,AUTOMÁTICA,NAFTA,EURO VI b,215,09/01/2019,201844716,DEKRA,211,11.2,8.1,9.2,000186B
BMW,X5 xDRIVE 40i (7 ASIENTOS),RURAL,4x4,BMW B58B30C,2998,,AUTOMÁTICA,NAFTA,EURO VI b,215,09/01/2019,201844716,DEKRA,215,11.6,8.2,9.4,000187B
BMW,M850i xDRIVE,COUPÉ,4x4,BMW N63B44D,4395,,AUTOMÁTICA,NAFTA,EURO VI b,218,17/01/2019,201845307,DEKRA,238,14.6,8,10.4,000204B
MERCEDES-BENZ,X 350 d 4MATIC,PICK UP CABINA DOBLE,4x4,MERCEDES-BENZ 642,2987,,AUTOMÁTICA,GAS OIL,EURO V,229,25/01/2019,42.04.1428.00,TÜV NORD Mobilität,236,10.3,8.3,9,000212B
NISSAN,FRONTIER o NP300 FRONTIER,PICK UP,4x2,RENAULT YS23 266 o YS23,2298,,MANUAL,GAS OIL,EURO V,232,25/01/2019,PC18070192,IDIADA,177,7.8,6.1,6.7,000216B
NISSAN,FRONTIER o NP300 FRONTIER,PICK UP,4x4,RENAULT YS23 266 o YS23,2298,,MANUAL,GAS OIL,EURO V,232,25/01/2019,PC18070194,IDIADA,181,7.8,6.3,6.9,000217B
MERCEDES-BENZ,MERCEDES-AMG C 43 4 MATIC,SEDÁN - COUPÉ,4x4,MERCEDES-BENZ 276.823,2996,,AUTOMÁTICA,NAFTA,EURO VI b,233,29/01/2019,42.04.1419.00,TÜV NORD Mobilität,217,13.3,7.3,9.5,002318B
MERCEDES-BENZ,MERCEDES-AMG C 43 4 MATIC,FAMILIAR-CABRIOLET,4x4,MERCEDES-BENZ 276.823,2996,,AUTOMÁTICA,NAFTA,EURO VI b,233,29/01/2019,42.04.1419.00,TÜV NORD Mobilität,222,13.5,7.6,9.7,000219B
FORD,ECOSPORT,SUV 5 PUERTAS,4x2,FORD 1.5 L DRAGON PFI TiVCT o  1.5 L DRAGON PFI TiCT,1497,,AUTOMÁTICA,NAFTA,EURO V,234,29/01/2019,SESE 1932/2018,FORD MOTOR COMPANY BRASIL,160.11,9.01,5.67,6.9,000220B
DONGFENG,AX4,SEDÁN 5 PUERTAS,4x2,DONGFENG DFM A16,1556,,MANUAL,NAFTA,EURO V,235,27/02/2019,65DMA0196A,ATE-EL LUXEMBOURG,165,9.2,5.8,7,000221B
RENAULT,ALASKAN 2.3 160 HP 4x4 MT,CAMIONETA 4 PUERTAS,4x4,RENAULT YS23 266,2298,,MANUAL,GAS OIL,EURO V,237,27/02/2019,PC18070198,IDIADA,181,7.8,6.3,6.9,000224B
FORD,ECOSPORT,SUV 5 PUERTAS,4x2,FORD 1.5 L DRAGON PFI TiVCT o  1.5 L DRAGON PFI TiCT,1497,,MANUAL,NAFTA,EURO V,239,18/02/2019,SESE 1933/2018,FORD MOTOR COMPANY BRASIL,149.66,8.32,5.34,6.44,000225B
VOLKSWAGEN,VENTO,SEDÁN 4 PUERTAS,4x2,VOLKSWAGEN CXDB,1984,,AUTOMÁTICA,NAFTA,EURO V,240,20/02/2019,CAE-18-1278C,CENTRO DE ANÁLISIS DE EMISIONES DE VW DE MÉXICO,166.14,9.6,5.78,7.16,000228B
MERCEDES-BENZ,A 200,FAMILIAR,4x2,MERCEDES-BENZ 282.914,1332,,AUTOMÁTICA,NAFTA,EURO VI,241,27/02/2019,42.04.1408.01,TÜV NORD Mobilität,133,7.4,4.9,5.8,000229B
MERCEDES-BENZ,A 200,SEDÁN,4x2,MERCEDES-BENZ 282.914,1332,,AUTOMÁTICA,NAFTA,EURO VI,241,27/02/2019,42.04.1408.01,TÜV NORD Mobilität,132,7.4,4.8,5.8,000230B
RENAULT,ALASKAN 2.3 160 HP 4x2 MT,CAMIONETA 4 PUERTAS,4x2,RENAULT YS23 266,2298,,MANUAL,GAS OIL,EURO V,243,27/02/2019,PC18070196,IDIADA,177,7.8,6.1,6.7,000231B
FORD,RANGER RAPTOR,PICK UP CABINA DOBLE,4x2 / 4x4,FORD 2.0L DIESEL BI-TURBO,1996,,AUTOMÁTICA,GAS OIL,EURO V,247,01/03/2017,OST407829 (P-5-57),VCA,217,9.4,7.6,8.3,000233B
MERCEDES-BENZ,E 450 4MATIC,COUPÉ 2 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,AUTOMÁTICA,NAFTA,EURO VI,249,08/03/2019,42.04.1419.02,TÜV NORD Mobilität,208,12.5,7.3,9.1,000236B
PEUGEOT,308,BERLINA 5 PUERTAS,4x2,PSA EP6FADTR (EGX),1598,,MANUAL,NAFTA,EURO VI,250,06/03/2019,18/02383,UTAC,168.63,10.44,6.38,7.47,000235B
SUZUKI,JIMNY,RURAL,4x2 4x4,SUZUKI K15B,1462,,AUTOMÁTICA,NAFTA,EURO V,251,20/03/2019,RDW-83R-0069145,RDW,158,8.2,6.1,6.9,000238B
TOYOTA,RAV4,SUV,4x4,TOYOTA A25A-FKS,2487,,AUTOMÁTICA,NAFTA,EURO V,253,20/03/2019,H1860672452/026,VINÇOTTE nv,168.2,9.45,6.2,7.4,000239B
HYUNDAI,TUCSON,RURAL 5 PUERTAS TODOTERRENO,4x2 / 4x4,HYUNDAI D4HA,1995,,AUTOMÁTICA,GAS OIL,EURO V,254,20/03/2019,83-V039-55185-191,RDW,168.27,8.12,5.39,6.39,000240B
SUZUKI,JIMNY,RURAL,4x2 / 4x4,SUZUKI K15B,1462,,MANUAL,NAFTA,EURO V,255,28/03/2019,RDW-83R-0069144,RDW,146,7.7,5.7,6.4,000243B
TOYOTA,RAV4,SUV,4x2,TOYOTA A25A-FXS / TOYOTA 3NM,2487,,CVT,NAFTA / ELECTRICIDAD,EURO V,257,28/03/2019,H1860161643/272,VINÇOTTE nv,106,4.9,4.8,4.7,000244B
TOYOTA,RAV4,SUV,4x4,TOYOTA A25A-FXS / TOYOTA 3NM (DELANTERO) - 4NM (TRASERO),2487,,CVT,NAFTA / ELECTRICIDAD,EURO V,260,28/03/2019,H1860670248/509,VINÇOTTE nv,109.75,5.11,4.85,4.83,000245B
MERCEDES-BENZ,MERCEDES-AMG C63,SEDÁN 4 PUERTAS,4x2,MERCEDES-BENZ 177.980,3982,,AUTOMÁTICA,NAFTA,EURO VI b,261,28/03/2019,42.04.1424.00,TÜV NORD Mobilität,232,14,7.9,10.2,000246B
MERCEDES-BENZ,MERCEDES-AMG C63 S,SEDÁN 4 PUERTAS,4x2,MERCEDES-BENZ 177.980,3982,,AUTOMÁTICA,NAFTA,EURO VI b,261,28/03/2019,42.04.1424.00,TÜV NORD Mobilität,237,14.2,8.1,10.4,000247B
NISSAN,SENTRA,SEDÁN 4 PUERTAS,4x2,NISSAN MRA8,1798,,CVT,NAFTA,EURO V,264,27/03/2019,LC 0061 B36 18,LUXCONTROL S.A.,159,9.3,5.4,6.9,000251B
FORD,TRANSIT,FURGÓN,4x2,FORD 2.2L PUMA (CYR5),2198,,MANUAL,GAS OIL,EURO VI,265,28/03/2019,ESN263871-3.15,VCA,208.36,8.8,7,7.7,000252B
RENAULT,MEGANE 1.2 16V,SEDÁN 5 PUERTAS,4x2,RENAULT H5F F4,1197,,AUTOMÁTICA,NAFTA,EURO VI b,266,04/04/2019,18/05457,UTAC,140,7.7,5,6,000254B
MERCEDES-BENZ,C 400 4MATIC,SEDÁN 4 PUERTAS - COUPÉ 2 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,AUTOMÁTICA,NAFTA,EURO VI b,268,03/04/2019,42.04.1419.02,TÜV NORD Mobilität,188,11.6,6.3,8.3,000255B
MERCEDES-BENZ,C 400 4MATIC,CABRIOLET 2 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,AUTOMÁTICA,NAFTA,EURO VI b,268,03/04/2019,42.04.1419.02,TÜV NORD Mobilität,198,12.1,6.8,8.8,000256B
BMW,330i,SEEDÁN 4 PUERTAS,4x2,BMW B48B20B,1998,,AUTOMÁTICA,NAFTA,EURO VI c,272,03/04/2019,201845472,DEKRA,147,7.9,5.6,6.4,000257B
MERCEDES-BENZ,E 450 4MATIC,SEDÁN 4 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,AUOTMÁTICA,NAFTA,EURO VI b,273,08/04/2019,42.04.1419.02,TÜV NORD Mobilität,204,12.4,7.1,9,000258B
TOYOTA,PRIUS,SEDÁN 5 PUERTAS,4x2,TOYOTA 2ZR-FXE / TOYOTA 1NM ,1798,,CVT,NAFTA,EURO V,278,11/04/2019,JSQ326127,VCA,88,3.7,3.8,3.8,000262B
HAVAL,H6,RURAL,4x2,HAVAL GW4B15,1499,,AUTOMÁTICA,NAFTA,EURO V,280,15/04/2019,LC 1157 044 17,LUXCONTROL S.A.,178,9.6,6.7,7.7,000263B
LEXUS,IS300,SEDÁN 4 PUERTAS,4x2,TOYOTA 8AR-FTS,1998,,AUTOMÁTICA,NAFTA,EURO V,282,17/04/2019,JSQ319928,VCA,189,11.4,6.3,8.2,000266B
TOYOTA,RAV4,SUV,4x2,TOYOTA M20A-FKS,1987,,CVT,NAFTA,EURO V,283,17/04/2019,H1860672452/023,VINÇOTTE nv,148.6,7.78,5.79,6.5,000267B
MERCEDES-BENZ,B 200,FAMILIAR,4x2,MERCEDES-BENZ 282.914,1332,,AUTOMÁTICA,NAFTA,EURO VI b,284,17/04/2019,42.04.1408.02,TÜV NORD Mobilität,134,7.4,4.9,5.9,000264B
MERCEDES-BENZ,C 200,SEDÁN 4 PUERTAS,4x2,MERCEDES-BENZ 264.920,1991,,AUTOMÁTICA,NAFTA,EURO VI b,285,17/04/2019,42.04.1442.00,TÜV NORD Mobilität,163,9.8,5.6,7.2,000265B
MERCEDES-BENZ,C 300,SEDÁN 4 PUERTAS,4x2,MERCEDES-BENZ 264.920,1991,,AUTOMÁTICA,NAFTA,EURO VI b,286,23/04/2019,42.04.1442.00,TÜV NORD Mobilität,163,9.8,5.6,7.2,000270B
MERCEDES-BENZ,C 300,COUPÉ 2 PUERTAS,4x2,MERCEDES-BENZ 264.920,1991,,AUTOMÁTICA,NAFTA,EURO VI b,286,23/04/2019,42.04.1442.00,TÜV NORD Mobilität,168,10.1,5.8,7.4,000271B
MERCEDES-BENZ,C 300,CABRIOLET 2 PUERTAS,4x2,MERCEDES-BENZ 264.920,1991,,AUTOMÁTICA,NAFTA,EURO VI b,286,23/04/2019,42.04.1442.00,TÜV NORD Mobilität,180,10.6,6.3,7.9,000272B
HAVAL,H6,RURAL,4x2,GREAT WALL GW4C20,1967,140,DCT,NAFTA,,288,22/04/2019,LC 1157 026 17,LUXCONTROL S.A.,203,11.1,7.5,8.8,000268B
MERCEDES-AMG,MERCEDES-AMG GT 63 S 4MATIC+,SEDÁN 4 PUERTAS,4x4,MERCEDES-BENZ 177.980,3982,470,AUTOMÁTICA,NAFTA,EURO VI,290,22/04/2019,42.04.1415.01,TÜV NORD Mobilität,247.1,15.1,9.1,11.3,000269B
RENAULT,KWID 1.0 12V,SEDÁN 5 PUERTAS,4x2,RENAULT B4D 405,999,48,MANUAL,NAFTA,EURO V,294,23/04/2019,0110/16,DELPHI,120.64,6.52,4.37,5.17,000273B
MERCEDES-AMG,C 63 - C 63 S,COUPÉ 2 PUERTAS,4x2,MERCEDES-BENZ 177.980,3982,350 - 375,AUTOMÁTICA,NAFTA,EURO VI,295,23/04/2019,42.04.1424.00,TÜV NORD Mobilität,216.9,14.1,8,10.3,000274B
LEXUS,RC350,COUPÉ,4x2,TOYOTA 2GR-FKS,3456,232,AUTOMÁTICA,NAFTA,EURO V,296,23/04/2019,JST395095,VCA,213.33,13.1,6.86,9.15,000275B
MERCEDES-BENZ,A 250 AUTOMÁTICA,SEDÁN 4 PUERTAS,4x2,MERCEDES-BENZ 260.920,1991,165,AUTOMATICA,NAFTA,EURO VI,297,23/04/2019,42.04.1444.00,TÜV NORD Mobilität,151,9.1,5.2,6.6,000276B
MERCEDES-BENZ,B 250 AUTOMÁTICA,FAMILIAR,4x2,MERCEDES-BENZ 260.920,1991,165,AUTOMATICA,NAFTA,EURO VI,298,23/04/2019,42.04.1444.00,TÜV NORD Mobilität,155,9.1,5.5,6.8,000277B
FORD,RANGER,PICK UP CABINA SIMPLE / CABINA DOBLE,4x2,FORD 2.2 L Diesel (P4AT QJ2S),2198,118,MANUAL,GAS OIL,EURO V,303,23/04/2019,OSR355417MT (P5-14),VCA,188,8.2,6.5,7.1,000278B
FORD,RANGER,PICK UP CABINA SIMPLE / CABINA DOBLE,4x4,FORD 2.2 L Diesel (P4AT QJ2S),2198,118,MANUAL,GAS OIL,EURO V,303,23/04/2019,OSQ319372 (6a),VCA,205,9,7.1,7.8,000279B
AUDI,RS4 - RS4 AVANT / RS5 - RS5 SPORTBACK,RURAL 4 PUERTAS CON PORTÓN TRASERO / SEDÁN 2 PUERTAS CON PORTÓN TRASERO,4x4,AUDI DECA,2894,,AUTOMÁTICA,NAFTA,EURO VI b,304,26/04/2019,AUA5390C,ATE-EL LUXEMBOURG,202,11.7,7.3,8.9,000284B
AUDI,RS5 – RS5 COUPÉ,COUPÉ 2 PUERTAS,4x4,AUDI DECA,2894,,AUTOMÁTICA,NAFTA,EURO VI b,304,26/04/2019,AUA5390C,ATE-EL LUXEMBOURG,199,11.6,7.2,8.8,000285B
VOLKSWAGEN,T-CROSS,SUV 4 PUERTAS Y PORTÓN TRASERO,4x2,VOLKSWAGEN CWSA,1598,81,AUTOMÁTICA,NAFTA,EURO V,305,24/04/2019,BR19020006,IDIADA,167,9.4,5.8,7.2,000280B
VOLKSWAGEN,T-CROSS,SUV 4 PUERTAS Y PORTÓN TRASERO,4x2,VOLKSWAGEN CWSA,1598,81,MANUAL,NAFTA,EURO V,306,24/04/2019,BR19020008,IDIADA,163,9.1,5.8,7,000281B
NISSAN,SENTRA,SEDÁN 4 PUERTAS,4x2,NISSAN MRA8,1798,,MANUAL,NAFTA,EURO V,307,25/04/2019,LC 0061 B35 18,LUXCONTROL S.A.,168,9.9,5.6,7.2,000286B
AUDI,Q7,SUV – CROSSOVER 4 PUERTAS CON PORTÓN TRASERO,4x4,AUDI CYRB,1984,185,AUTOMATICA,NAFTA,EURO VI b,308,29/04/2019,AUA5140C,ATE-EL LUXEMBOURG,188,9.3,7.2,8,000282B
BAIC,BJ20,RURAL,4x2,BAIC 4A91T,1499,100,CVT,NAFTA,EURO V,309,25/04/2019,LCA 51 1236 047 17,LUXCONTROL S.A.,179,9.4,6.7,7.7,000283B
BAIC,BJ20,RURAL,4x2,BAIC 4A91T,1499,100,MANUAL,NAFTA,EURO V,311,25/04/2019,LCA 51 1236 047 17,LUXCONTROL S.A.,170,9.1,6.2,7.3,000287B
LEXUS,IS300H,SEDÁN 4 PUERTAS,4x2,TOYOTA 2AR-FSE / TOYOTA 1KM ,2494,133,CVT,NAFTA / ELECTRICIDAD,EURO V,312,25/04/2019,VCAJSOC-2015,VCA,115,5.2,5,4.96,000288B
MERCEDES-AMG,MERCEDES-AMG GT C,COUPÉ 2 PUERTAS,4x2,MERCEDES-BENZ 178.980,3982,410,AUTOMÁTICA,NAFTA,,313,26/04/2019,42.04.1430.00,TÜV NORD Mobilität,259,15.1,9,11.4,000289B
MERCEDES-AMG,MERCEDES-AMG GT C,CONVERTIBLE 2 PUERTAS,4x2,MERCEDES-BENZ 178.980,3982,410,AUTOMÁTICA,NAFTA,,313,26/04/2019,42.04.1430.00,TÜV NORD Mobilität,261,15.2,9.1,11.5,000290B
BMW,Z4 sDrive 30i ,CONVERTIBLE,4x2,BMW B48B20B,1998,190,AUTOMÁTICA,NAFTA,EURO VI c,315,25/04/2019,201845261,DEKRA,149,7.9,5.7,6.5,000291B
AUDI,A1,SEDÁN 4 PUERTAS CON PORTÓN TRASERO,4x2,AUDI DADA,1498,110,AUTOMATICA,NAFTA,EURO VI,317,09/05/2019,AUA5682A,ATE-EL LUXEMBOURG,123.58,9.03,6.12,7.08,000292B
AUDI,A1,SEDÁN 4 PUERTAS CON PORTÓN TRASERO,4x2,AUDI DADA,1498,110,MANUAL,NAFTA,EURO VI,318,30/04/2019,AUA5706A,ATE-EL LUXEMBOURG,129.4,7.97,5.81,6.61,000293B
PEUGEOT,2008,BERLINA 5 PUERTAS,4x2,PEUGEOT EP6FDTM (5GY),1598,120,AUTOMÁTICA,NAFTA,EURO V,319,26/04/2019,B1_190301_000,CONTINENTAL,179.1,9.7,6.55,7.7,000294B
TOYOTA,SW4,SUV,4x4,TOYOTA 1GD-FTV ,2755,130,AUTOMATICA,GAS OIL,EURO V,320,07/05/2019,VST409957,VCA,230,10.9,7.5,8.7,000295B
AUDI,Q8,STATION WAGON - SUV - CROSSOVER - 4 PUERTAS CON PORTÓN TRASERO,4x4,AUDI CVMD,2967,183,AUTOMÁTICA,GAS OIL,EURO V,321,30/04/2019,AUA5589A,ATE-EL LUXEMBOURG,210,9.3,7.1,7.9,000296B
MITSUBISHI,L200 o TRITON,PICK UP,4x4,MITSUBISHI 4N15,2442,133,MANUAL,GAS OIL,EURO V,322,29/04/2019,H1860156936/607,AIB-VINÇOTTE International n.v.,208,10,7.7,8.5,000297B
MITSUBISHI,L200 o TRITON,PICK UP,4x4,MITSUBISHI 4N15,2442,133,AUTOMÁTICA,GAS OIL,EURO V,324,06/05/2019,H1860156936/608,AIB-VINÇOTTE International n.v.,225,10,7.7,8.5,000299B
NISSAN,MURANO,RURAL,4x4,NISSAN VQ35,3498,188,CVT,NAFTA,EURO V,325,06/05/2019,LCA 0061 A64 18,LUXCONTROL S.A.,225.7,12.8,7.9,9.7,000300B
CHANGAN,MD201 o MD201-D,PICK UP,4x2,CHANGAN JL473Q,1243,68,MANUAL,NAFTA,EURO V,330,06/05/2019,CN18120787,IDIADA,173,9.1,6.1,7.2,000303B
FAW,R7,RURAL 5 PUERTAS,4x2,FAW CA4GB16,1598,80,MANUAL,NAFTA,EURO V,331,06/05/2019,CST393244a,VCA,177,8.9,6.6,7.5,000304B
SUZUKI,VITARA,RURAL,4x4,SUZUKI K14C,1373,103,AUTOMÁTICA,NAFTA,EURO V,332,06/05/2019,E4-101R-010962,RDW,145,7.91,5.2,6.2,000305B
CHANGAN,M201,FURGÓN,4x2,CHANGAN JL473Q,1243,68,MANUAL,NAFTA,EURO V,333,06/05/2019,CN18120785,IDIADA,172,8.8,6.2,7.2,000306B
FAW,R7,RURAL 5 PUERTAS,4x2,FAW CA4GB16,1598,80,AUTOMÁTICA,NAFTA,EURO V,334,06/05/2019,CST393243,VCA,185.02,10.94,6.37,7.85,000307B
