vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_cilindrada,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto
MERCEDES-BENZ,SLC 300,Coupe,4x2,1991.0,AUTOMATICA,NAFTA,EURO VI b,147.1,7.9,5.3,6.3
VOLKSWAGEN,AMAROK,PICK UP,4x2,1968.0,MANUAL,GAS OIL,EURO V,194.2,10.3,7.3,8.4
VOLKSWAGEN,AMAROK,PICK UP,4x4,1968.0,MANUAL,GAS OIL,EURO V,188.3,10.0,7.1,8.2
JEEP,COMPASS TRAILHAWK 2.0 AT9 4WD,4 Puertas,4x4,1956.0,AUTOMATICA,GAS OIL,EURO V,187.55,9.19,5.95,7.13
RENAULT,DUSTER OROCH 2.0 16v,PICK UP,4x4,1998.0,MANUAL,NAFTA,EURO V,190.84,11.14,6.43,8.17
LAND ROVER,DISCOVERY SPORT,Rural,4x4,1997.0,AUTOMATICA,NAFTA,EURO VI,182.0,9.6,7.1,8.0
CHEVROLET,EQUINOX,SUV,4x2,1490.0,AUTOMATICA,NAFTA,EURO V,177.3,9.87,6.39,7.67
CHEVROLET,EQUINOX,SUV,4x4,1490.0,AUTOMATICA,NAFTA,EURO V,187.9,10.62,6.67,8.11
HYUNDAI,VELOSTER,Coupe,4x2,1999.0,MANUAL,NAFTA,EURO V,166.0,9.6,5.6,7.1
HYUNDAI,VELOSTER,Coupe,4x2,1999.0,AUTOMATICA,NAFTA,EURO V,168.0,9.7,5.7,7.2
HYUNDAI,VELOSTER 1.6T,Coupe,4x2,1591.0,MANUAL,NAFTA,EURO V,175.0,10.2,5.9,7.5
HYUNDAI,VELOSTER 1.6T,Coupe,4x2,1591.0,AUTOMATICA,NAFTA,EURO V,157.0,8.8,5.5,6.7
FORD,KA,4 Puertas,4x2,1496.0,MANUAL,NAFTA,EURO V,134.16,7.04,5.04,5.77
FORD,KA,4 Puertas,4x2,1496.0,AUTOMATICA,NAFTA,EURO V,150.06,8.18,5.44,6.45
JAC,T6,PICK UP,4x2 - 4x4,1998.0,MANUAL,GAS OIL,EURO V,222.0,9.1,8.0,8.4
JAC,T8,PICK UP,4x2 - 4x4,1998.0,MANUAL,GAS OIL,EURO V,222.0,9.1,8.0,8.4
HYUNDAI,HD35L,BUS,4x2,2497.0,MANUAL,GAS OIL,EURO V,276.19,13.01,9.0,10.51
HONDA,ACCORD,4 Puertas,4x2,1996.0,AUTOMATICA,NAFTA,EURO V,192.0,12.1,6.1,8.3
HONDA,ACCORD,4 Puertas,4x2,1498.0,CVT,NAFTA,EURO V,156.0,9.0,5.3,6.7
